-1029	-2099	-2478	580	-3	-3576	-130	175	-2120	-2889	-2492	-691	1109	-355	-1517	-704	-172	-2684	-2618	-1691	-1925	-1421	-2276	-3299	-1277	-2198	-2675	-193	-1132	-829	-828	-3626	
-1033	-2351	-852	-813	-1055	-2685	-26	-679	-1486	-320	-2444	-1781	-708	-3101	-1164	-1420	-632	-1069	-1460	554	-2384	-868	-2174	-517	-1369	-1674	-2648	-23	-2285	-2076	-923	-2412	
-4328	-1845	-1873	167	-2160	-1178	257	-2431	576	-2949	-2446	-119	-1564	-919	199	-392	-2357	-2018	-581	868	-2773	-2589	-1861	-1282	-2342	-1457	-791	-355	-1571	-1492	-1310	-1674	
-2013	-938	-1298	-135	-729	-2352	-1487	-1596	-1223	-604	-520	-568	-789	-2489	-908	-3171	-2990	-2584	-1553	1171	-563	-849	-549	-269	-425	-2057	-2977	-806	-1958	-1845	-998	-187	
-232	-469	-1148	-2201	-843	-3086	-4654	-1170	322	-1909	-2364	-361	-89	-3217	-1058	-1660	-2511	-946	-1394	-845	-2579	-2624	-568	-2974	-1360	-2891	-1015	-269	-2368	-1062	-1592	-196	
-2144	-59	258	451	-817	220	-2825	-1674	-2347	-1019	-244	-1187	-2087	-955	-3130	467	-1664	-2062	-2550	-240	527	-3325	-814	-1354	820	-420	-2083	-1340	-1706	-2113	-1858	-153	
-1712	-2166	-2642	-1183	-371	-963	-1558	-72	-3509	-2622	1426	-325	-1937	-409	-1354	-1403	-3332	-271	-2325	1610	-993	-399	-1646	-135	-2171	-2276	-574	-966	-1121	-2105	-503	-1025	
344	1238	-1300	-4517	-935	-507	-1908	-1258	-1121	-253	-1835	-2005	826	-2579	-1170	-2207	-2031	-2160	-2220	-1361	-954	-1498	-627	-2523	-2962	-2699	-527	-2814	-807	-56	-2065	-2666	
-3323	-1373	-2568	-2494	-3333	-1775	-346	-2145	-654	-1406	-1454	-440	-1650	53	-927	-2622	-1701	-1794	795	-615	-2278	-324	-847	-3897	-2338	-1362	-860	-3320	-629	-683	-2086	-1991	
-1005	1024	-2269	-1088	-2003	572	-3535	-3189	-3127	-768	-985	-3038	-981	-491	-1226	-709	-1206	314	116	10	-2401	-2619	-2007	-1647	-1662	-1499	-8	-1215	-1331	-1238	-736	-1662	
244	-3583	-1422	-4903	1641	177	-647	-1912	-1083	-2035	-1267	-1213	-2628	-217	-3154	-291	-1214	-2555	-2417	-2485	-1528	683	-2718	-420	-8	-304	-2015	-1562	-1277	-3550	162	-2964	
292	517	-1674	-1606	-15	397	-1609	-270	-1804	-3574	-3158	-2316	-692	-1555	-2840	-2414	-601	-1697	-11	-666	-599	-133	761	-319	-2281	-610	-2825	-289	-870	-1288	3248	271	
652	-1551	-725	-457	-1404	282	-1850	-1019	-132	-433	-2585	-1895	536	-3505	-1196	-2203	-1191	-2886	-2	-2447	-1018	-1125	-837	-3597	-2691	-1350	-1668	-354	690	-2895	-697	-2477	
878	-3875	-2324	-852	-2434	-953	-4243	-1321	-944	-2096	-3429	-874	-1609	-2834	-2477	-184	-808	-4174	-1047	-1361	-3043	-722	-1711	-1799	-1500	-2253	-968	-1606	-1801	-1636	-618	-1854	
-1369	-305	-1872	-2103	581	-551	-1251	-1701	24	-1009	-1771	-122	-1667	-1291	-1398	-756	-740	-973	-2496	-4012	-3604	-588	-3094	-1720	-1291	745	-1017	1335	-828	560	-130	499	
-822	-430	-553	-967	-568	-1549	-860	-2670	356	-2130	-1278	-1575	-529	-2911	-1283	-1945	-570	1065	-2637	-543	-280	-1737	-694	-1240	-767	531	-1213	-653	-2149	-1764	-60	-697	
-2213	-693	-983	577	-1776	113	-842	-4435	-732	-622	-1005	-2314	387	-1773	-3539	-1498	-294	-2061	-1273	-1988	-1853	-3000	-3035	-1412	483	665	276	-435	-430	-933	-1575	-322	
-1082	-334	-1354	-883	-556	-1189	-61	-2592	-5370	-3894	59	-2541	-1249	-2188	-550	-2368	-1536	540	-2203	-2311	-2649	119	-708	-1003	-1360	-38	-1582	-435	-1767	-2424	-2457	-2530	
410	-77	-3028	-2616	-1028	-243	-682	-1749	-1748	733	-590	-2728	-1766	-4681	-1171	-1520	-2785	-1797	-427	-1014	105	-1010	991	-1275	-1434	-524	-2133	-2242	-468	-1018	96	-964	
-1837	-3170	1310	-477	-295	-1338	-572	-1488	-1006	-1108	-4125	-2835	-2147	-1812	-595	-395	-183	-2231	-4553	-480	-2177	-1354	342	-1742	-536	-1366	-1452	-2517	-1029	-471	-1231	-2779	
-203	-517	-796	-2684	-712	-2563	-1978	-886	-901	-836	-3356	-2431	-2336	-2615	-2350	-950	-1775	-325	-458	-302	-255	-1569	-750	-1121	-2430	-2924	-2415	-1933	214	-389	1037	-1857	
-154	-723	-2900	-3557	90	-2006	-1321	-1629	-1926	-1445	-3444	-1655	-1863	-2199	-1913	-2451	-256	-662	-2699	-1071	-1106	-331	-2593	-2069	-2367	-278	-1833	-845	-1860	-4417	-3734	-2456	
274	-474	1570	-1366	-198	-973	-2164	-29	1650	-925	-807	53	-686	-1896	-1492	-2901	-1542	-163	92	-2766	-176	155	838	-3574	-953	-3426	-743	-1957	-463	-1011	-481	-1986	
-1618	-1792	-108	-14	616	-1045	-792	101	-378	-1708	-2248	-256	-772	-4949	-801	-1839	-315	-2812	-1899	1383	-3171	-1154	-4842	-3121	-872	-2824	475	-1704	-609	-1845	-548	-906	
-2498	-787	-791	-1386	-1133	-1042	-1237	-222	-2906	92	-309	-1346	-2008	-1309	-1579	-3757	-2813	-2982	35	-37	-748	-1841	-2260	-320	-8	-256	-164	-968	-182	-2474	-649	-826	
-2126	-1748	-329	-53	-1279	-2748	-83	-73	-3762	-1298	-1174	-798	-1529	-238	-1119	-980	159	-2465	-2119	-1115	-1832	1186	-1277	58	-2329	-1186	-53	-1500	-1678	-865	-2573	-829	
-15	-3844	-57	-784	272	-1004	-1307	-1533	-2917	1576	-760	-443	-2837	-1974	-2297	-302	-1843	-1377	-2620	-2521	-451	-1754	-1161	-452	-2450	-1616	-3119	-1585	-2398	-2108	-1614	-3332	
-2119	-987	-2872	-1484	-1671	-1339	346	-900	-290	-1386	-1469	-1317	-520	-3947	-1599	-2106	-866	-140	-1013	-1214	-1693	-1930	-1904	-1123	-951	-3219	-1778	-1129	1146	-1007	-2858	-2680	
582	-861	-2489	-1746	-10	-330	-2142	-896	-793	-853	-3125	89	-725	-1716	103	-1175	-1852	-1344	-651	1756	-497	-921	-4935	-251	-810	-1763	-1418	-785	1223	-2194	-110	-2063	
-204	-2410	-1214	-1718	-2206	-850	-244	-686	-2891	-2899	1559	-245	-169	-1074	-984	-1419	-1158	-311	-1246	-1767	-969	-762	-1928	-1730	818	-516	-1358	-3936	-1917	-3135	-919	-574	
-1477	-4366	-55	-906	-982	-2915	-80	-186	-300	-3397	-770	-21	-3765	-1846	-944	-1965	-723	-566	308	-596	-1337	-1007	-1920	-2218	-1805	-469	-2531	-1178	-2248	-2164	-2475	-2177	
-288	-1013	-1840	-275	-472	-1625	-2351	-2906	1418	-983	-778	-580	-1866	-508	-1173	-1157	-885	992	-7	236	-1704	-2036	-1636	-189	-1347	-668	-2981	1057	-1677	-573	-1515	-985	
-2276	-2276	-2864	-1844	-278	793	-843	-2673	-1591	-325	-642	121	19	-1646	-2632	-204	-962	-585	-1622	739	-509	-1145	-1639	-450	-973	436	-2632	-41	-1525	-1522	-1746	-710	
-497	-3021	-399	-1614	-1625	-32	-1039	-411	-2503	-3056	-1414	-1858	312	-270	-2116	-906	-507	-352	-740	-312	-1468	-201	-736	-1421	-396	310	-175	-787	-1225	-115	-2177	-843	
-1029	77	-1548	-1805	-2540	-989	-1394	615	-2189	2	-608	-1585	-1136	-1564	-2329	-2897	-1234	-910	-2050	-2210	-1128	289	-379	-1429	-1049	-2765	-1867	-3769	-1487	-1665	-2095	-1876	
-48	-465	-697	-994	1294	-1788	211	-1828	-1065	-541	-316	-1367	-3318	-331	-1256	-2176	-3062	-2775	-4080	-1005	144	-1597	-2383	-1711	-2695	-412	-1713	-2399	-931	-1687	-513	-13	
-1212	216	597	-1387	-1236	-366	-2274	-330	-33	-851	-1260	-846	-1204	-1616	-120	570	-536	-1414	-3270	-692	-962	-2494	-45	-1875	-1436	970	-1524	-186	-876	-843	-2354	1848	
-71	-2163	-38	-1333	-345	-1841	-980	-145	-2944	-1399	-3395	216	-894	-1929	-2114	-606	-1299	-2884	-693	417	-886	-1785	-1226	-919	-215	-191	-891	-282	-1731	-246	-787	162	
2404	-1187	-1014	-2362	-2029	-3386	346	-1136	-1224	-3831	-2139	-2011	-1572	-1948	-466	-1610	-3572	695	1961	-492	-495	-599	-1892	-540	-1495	-927	-4107	152	-127	-1464	-1080	-819	
-680	-2276	-1665	-124	-476	-166	-976	1062	-1150	-1362	-846	-2414	-1474	-1672	-1930	-999	69	-2401	-1524	-989	-57	-1171	-247	-918	-2179	-3192	-90	-3373	-2396	-1790	-2385	-909	
-700	-2084	-3410	12	-455	-1358	-2802	-2725	-1025	-1487	-2083	-1916	22	-1627	-2853	-365	-1489	-176	345	-659	-638	-862	-646	-3167	485	-3367	-1423	555	308	-657	-570	-2395	
-3601	-579	-224	-77	-2827	-4301	-1637	596	-118	-1862	-3535	-2421	689	-1555	-2233	-2337	-2220	-536	-2282	155	-1217	-1132	-1283	-947	-3901	-401	-921	-146	552	-853	65	-3026	
-1577	-2611	-1172	1017	-2562	-2935	-2748	-1741	-679	-1328	-339	-2051	-337	40	-658	791	-3238	64	-694	-2340	-1695	-2202	-1681	-550	-661	-1360	-83	-1688	635	-2197	-913	586	
-1923	-531	-1136	-1259	-3130	-5989	-850	-1749	-205	-694	-1990	309	-2074	-474	521	-2449	-265	-1460	-233	-2589	-259	-42	-686	-885	-1987	-2634	-2059	-296	-1689	-92	-85	-3008	
-2204	-2214	-968	-3106	-333	-562	-3054	-1786	-1611	-1404	-646	-405	-2507	-882	-935	153	-1139	-1278	-1150	-636	-236	-1132	-953	-1189	-708	-2816	-558	-375	-3042	-1887	-2401	-733	
-2121	-1993	-1774	-1010	-3564	228	-1508	-1907	-3802	403	-1075	282	-593	-1558	-1274	310	-890	-1743	-1250	-2556	121	-458	-1792	-2314	-1610	245	-299	-2496	-3348	-657	-720	-1199	
-746	-873	-1637	-737	-2	-1406	-1051	-769	-2242	-12	-1363	-3361	-4733	-1280	-1293	-1680	-1550	-710	-933	-2262	-1040	-2095	1318	-885	-321	-1949	-1915	-954	-1437	-794	-542	-289	
-2000	-3668	-542	62	-197	-43	76	-590	-2069	-2676	-2486	-913	-1264	-553	774	-1022	-871	-1161	-1140	-1364	794	140	-1128	-1553	-863	-864	-2099	417	-863	-1954	553	-855	
-2605	-1923	-2285	-1789	-1015	-2365	-886	-1015	-955	-3309	-2831	-2802	-204	-815	-1933	-2109	-1172	-1062	-413	-1710	-2343	-2702	-2306	-2574	-3712	-1454	-2653	-1382	-2645	-2871	-3188	-1772	
-1628	-1704	-891	-1130	-335	-1272	-2798	-2838	-336	-2598	-1447	-2588	-999	79	-341	-274	-64	182	-941	416	-1693	-1072	-983	-316	-959	-396	-2483	-2733	-1967	-3364	-606	-2582	
-1208	-1279	-417	-1309	-724	-499	-206	-2296	211	-4011	-2097	-1440	-679	-248	-1645	248	-2199	-570	34	-1427	-1277	-2816	-1101	-1500	-1216	-682	-201	-2269	-1645	-1478	-588	-1275	
-1129	-1194	-1360	-943	-222	-1075	-2339	-639	-4020	-1110	-2626	310	-2713	-2706	398	161	-674	-1556	-974	-2636	-923	-938	-2126	-1447	-1673	-881	-1353	-2632	-631	-2041	-2476	-1770	
-869	-937	-2035	-936	-157	-981	-135	-1535	-263	-731	-838	-577	51	979	-815	-1792	-69	-1402	-401	-887	-1276	439	-1809	-3339	-2036	-4060	-4109	-3554	817	-1248	-1332	-1360	
-420	-1350	-1713	-2010	719	-91	-3111	-165	-230	-1778	487	-2244	-2541	-2033	-875	-1699	-2358	-867	635	-2443	-1247	-1621	-415	-1425	-983	-1175	-558	-3624	668	-2764	808	-2741	
-3048	-399	-1640	-1349	-902	-120	-2230	-918	-2171	-1985	-1453	-1803	-580	-2209	-3577	-681	-2730	-283	-1728	190	-1572	-1524	-2516	-195	990	-1765	-1741	-2835	-588	-638	-577	-638	
-338	-1394	93	-656	-68	-1063	-624	-2299	-1195	-262	-2071	-113	-1019	-182	136	-3122	-42	-860	-3844	-224	-2258	-890	-2114	-1716	-1361	-75	-217	-2194	-940	-139	-36	-1001	
-121	-939	-2482	-887	-865	-2248	-1297	-1689	-1464	-870	-1421	-790	-1600	-1879	-1303	-1740	-2704	-1194	-1510	-684	-2420	-244	-1693	-616	-4450	-1299	-2323	-2545	-1900	-295	-319	93	
-1375	-279	-2262	-364	-3303	-1617	-2154	72	553	-265	451	-962	247	-3077	-903	-3359	-1989	-1105	-3614	-188	-1551	85	-2408	-1121	-1207	-2067	-2168	-888	-918	-1257	-2727	8	
-2456	-2107	-372	-4828	-3473	-1040	-2308	-1375	-2567	-104	-1825	-3255	-867	-3397	-306	-753	-557	-642	225	-816	-2139	-561	-3731	834	-3182	-3566	1718	-1037	-281	-634	1163	-2464	
961	-2085	-457	-1540	369	550	39	629	-1141	-2639	-3351	-1040	-1546	-259	1217	-456	448	-2357	-437	-2386	-1124	875	-2225	-1747	-1478	-1008	-762	-250	-2035	-1168	-324	-253	
-1699	-88	-573	-55	-1717	-2524	-1648	-188	-442	-967	-604	-444	-2054	-1152	-1751	-1775	-4300	-2535	-2832	-1750	1225	85	-988	-2505	-2973	-380	-924	-2591	-1487	-1229	-1211	-1225	
-1066	-1844	-1126	-946	-835	46	-516	-152	-1053	-873	-662	-1163	-3280	-3206	-757	-283	1958	113	-1633	-2760	-3698	267	-15	-2330	-1446	-1639	-2003	-1728	3	-2062	224	-1539	
663	140	-492	-2623	461	-323	-3674	-2286	-158	-57	-744	-1560	-1883	-3318	-2002	219	-1154	-1464	-2115	-56	-903	-454	-3527	-1093	907	-1098	-1029	-2051	-928	-595	-3421	640	
-820	-1688	-2054	263	-3239	-1888	-478	-873	-3473	-631	-581	-1177	-587	-508	-3830	-2181	-1649	-2876	-1683	-1008	-1786	-1609	-734	-742	-297	-1333	-2918	-2478	-141	-1281	-947	-309	
